City,Population,Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition),Rape (legacy definition),Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Novato,55782,103,2,9,,27,65,1050,219,676,137,18
Oakdale,22137,43,0,6,,14,23,867,167,628,66,6
Oakland,419481,6051,85,285,,3290,2391,24747,3333,14846,6389,179
Oakley,40163,68,2,6,,21,39,596,91,305,196,4
Oceanside,176319,702,9,68,,216,409,4612,589,3541,467,15
Ojai,7665,7,0,0,,1,6,66,15,49,2,0
Ontario,170274,547,3,31,,217,296,5201,897,3206,1066,32
Orange3,140572,172,7,11,,62,92,2905,525,2016,356,8
Orange Cove,9715,15,1,0,,5,9,150,41,62,47,0
Orinda,19311,5,0,0,,3,2,229,50,164,15,0
Orland3,7549,22,2,1,,4,15,119,27,76,16,0
Oroville3,16289,108,0,17,,31,60,1147,264,710,169,4
Oxnard,207221,920,12,21,,385,502,6720,1103,4758,835,24
Pacifica,39531,68,0,18,,17,33,706,138,492,73,3
Pacific Grove,15734,7,0,1,,3,3,288,51,219,18,0
Palmdale,159613,830,7,44,,251,528,3010,803,1730,455,22
Palm Desert,51847,117,0,3,,41,73,2302,375,1788,136,3
Palm Springs,47388,279,3,24,,84,168,3039,898,1790,341,10
Palo Alto,67560,68,2,13,,26,27,1710,213,1405,86,6
Palos Verdes Estates,13739,7,0,1,,4,2,171,82,78,9,2
Paradise3,26514,52,1,9,,11,31,526,212,245,64,5
Paramount,55727,283,1,10,,121,151,1695,246,956,490,3
Parlier,15106,95,1,11,,8,75,254,76,109,55,14
Pasadena,141815,428,4,57,,131,236,3738,830,2540,323,45
Paso Robles,31659,62,0,4,,12,46,1107,169,848,89,1
Patterson3,21410,50,0,2,,16,32,501,132,250,116,3
Perris,75036,178,3,1,,76,98,1835,323,1025,485,2
Petaluma,60450,244,0,39,,42,163,1352,206,1046,86,14
Pico Rivera,64551,199,4,16,,74,105,1461,263,803,385,10
Piedmont,11372,12,0,3,,2,7,206,51,117,38,0
Pinole,19284,72,0,0,,30,42,887,109,702,74,2
Pismo Beach3,7998,20,0,5,,5,10,529,142,361,24,2
Pittsburg,69340,225,5,23,,127,70,2428,461,1152,803,12
Placentia3,52753,76,0,5,,17,54,747,132,518,96,1
Placerville3,10601,21,0,3,,2,16,322,53,219,50,0
Pleasant Hill,34829,74,0,2,,42,30,1896,215,1499,174,8
Pleasanton,79611,86,0,13,,40,33,1649,232,1253,159,5
Pomona3,154410,792,10,72,,291,419,4546,692,2559,1256,39
Porterville,55760,186,2,12,,41,131,1385,314,844,226,1
Port Hueneme,22249,61,2,11,,24,24,456,109,281,63,3
Poway,50327,44,1,6,,13,24,514,115,367,30,2
Rancho Cordova,70955,344,5,17,,104,218,1727,346,1183,197,1
Rancho Cucamonga,176376,264,3,36,,97,128,3942,930,2569,437,6
Rancho Mirage,18156,41,0,4,,6,31,769,177,531,61,0
Rancho Palos Verdes,42993,41,1,4,,12,24,553,207,305,39,2
Rancho Santa Margarita,49719,44,0,8,,9,27,304,45,249,9,1
Red Bluff,14045,118,0,13,,25,80,998,221,675,99,3
Redding,92020,614,2,50,,145,417,4180,769,2888,512,11
Redlands,71078,212,2,34,,74,102,3225,514,2264,433,14
Redondo Beach,68492,185,2,19,,70,94,1757,348,1244,165,0
Redwood City,84415,190,1,28,,88,73,1852,362,1274,206,10
Reedley,25711,174,1,17,,16,140,485,138,254,90,3
Rialto,103590,423,3,34,,153,233,2229,684,813,721,11
Ridgecrest,28989,136,1,15,,19,101,591,160,372,51,8
Rio Dell3,3378,10,0,0,,3,7,59,19,24,16,0
Rio Vista,8250,32,0,0,,0,32,108,31,64,13,0
Ripon,15126,16,0,4,,4,8,244,25,186,33,0
Riverbank3,24061,35,1,3,,16,15,616,130,443,43,0
Riverside,323064,1441,10,137,,520,774,10602,1633,7144,1754,71
Rocklin,61105,64,0,19,,19,26,1210,164,938,101,7
Rohnert Park,42622,207,0,23,,46,138,1035,168,712,148,7
Rolling Hills,1912,1,0,0,,0,1,13,9,4,0,0
Rolling Hills Estates,8296,9,0,0,,4,5,110,48,56,5,1
Rosemead,55231,155,2,9,,73,71,1251,269,657,321,4
Roseville,131039,239,0,23,,84,132,3305,521,2469,305,10
Ross,2500,0,0,0,,0,0,39,15,21,3,0
Sacramento,489717,3611,43,105,,1174,2289,16641,3713,9865,2923,140
Salinas,158185,1098,40,76,,369,613,4164,679,1534,1932,19
San Bernardino,216477,2697,44,98,,968,1587,10455,3164,4210,3016,65
San Bruno,43499,105,0,11,,29,65,1114,166,803,139,6
San Clemente,65755,79,1,19,,16,43,778,163,534,74,7
Sand City,339,13,2,1,,5,5,137,5,122,9,1
San Diego,1400467,5582,37,566,,1378,3601,29332,5129,18933,5096,174
San Dimas,34955,81,1,7,,29,44,683,117,499,63,4
San Fernando3,24823,94,0,4,,32,58,509,126,263,120,0
San Francisco,863782,6710,53,344,,3610,2703,53291,5186,40918,6915,272
San Gabriel3,40714,89,1,4,,40,44,641,130,419,86,6
Sanger,24933,120,1,13,,21,85,642,133,433,72,4
San Jacinto,47022,133,0,5,,51,77,1701,369,1086,242,4
San Jose,1031458,3400,30,375,,1140,1855,25128,4896,13138,7001,93
San Juan Capistrano,36666,66,0,12,,15,39,430,94,282,53,1
San Leandro,90438,412,1,23,,220,168,3443,501,2028,903,11
San Luis Obispo,47116,193,0,34,,13,146,1888,245,1501,98,44
San Marcos,95314,171,3,17,,34,117,1518,277,996,243,2
San Marino3,13491,17,0,1,,4,12,226,81,132,12,1
San Mateo,104306,266,2,11,,62,191,2053,726,1114,205,8
San Pablo,30290,230,2,8,,113,107,1271,395,456,414,6
San Rafael,59598,236,0,27,,85,124,1897,267,1268,352,10
San Ramon,76081,27,0,4,,13,10,904,146,654,95,9
Santa Ana3,337304,1626,12,154,,523,937,7307,909,4494,1867,37
Santa Barbara3,91877,363,1,62,,76,224,2737,374,2209,134,20
Santa Clara,123562,156,1,20,,71,64,3589,583,2598,398,10
Santa Clarita,211132,351,7,34,,124,186,2946,656,1971,298,21
Santa Cruz3,64076,499,2,44,,116,337,3586,431,2831,299,25
Santa Fe Springs3,17867,85,1,4,,42,38,1259,161,877,216,5
Santa Maria,104355,463,13,50,,133,267,2982,595,1727,653,7
Santa Monica,93796,445,1,42,,172,230,3858,660,2953,221,24
Santa Paula3,30710,96,1,11,,16,68,410,101,255,50,4
Santa Rosa3,175738,606,4,89,,131,382,4352,639,3223,449,41
Santee,57934,86,1,11,,21,53,873,116,694,60,3
Saratoga,31239,18,1,6,,2,9,342,155,170,11,6
Sausalito,7182,14,1,0,,2,11,255,22,220,12,1
Scotts Valley3,11926,22,0,3,,5,14,309,90,206,10,3
Seal Beach,24800,24,0,1,,5,18,594,80,478,36,0
Seaside,34459,97,0,7,,27,63,549,92,381,71,5
Sebastopol3,7725,8,0,1,,0,7,153,27,116,10,0
Selma,24532,188,4,16,,34,134,1060,208,633,219,0
Shafter,17690,63,1,6,,11,45,632,180,296,142,14
Sierra Madre,11226,11,0,1,,3,7,119,48,59,10,2
Signal Hill,11655,58,1,6,,31,20,786,102,592,90,2
Simi Valley,127472,174,1,24,,45,104,1519,255,1146,112,6
Solana Beach,13448,15,0,1,,2,12,292,67,191,32,2
Soledad,25170,53,3,3,,4,43,306,105,118,79,4
Solvang,5571,11,0,0,,3,8,81,30,46,5,0
Sonoma3,11107,32,0,1,,1,30,222,36,174,12,0
Sonora3,4779,42,0,5,,10,27,369,80,267,18,4
South El Monte,20679,125,6,6,,27,86,654,161,325,163,5
South Gate,96775,561,2,24,,199,336,3288,574,1653,1051,10
South Lake Tahoe3,21558,65,0,5,,19,41,548,105,404,39,0
South Pasadena,26287,30,0,3,,22,5,710,141,536,31,2
South San Francisco,67843,157,1,28,,44,84,1434,314,916,191,13
Stallion Springs,2611,3,0,0,,0,3,16,1,13,2,0
Stanton,38921,152,0,14,,60,78,772,130,457,183,2
St. Helena,6028,9,0,1,,0,8,92,19,70,3,0
Stockton,304890,4122,49,135,,1144,2794,13101,2891,8119,1988,103
Suisun City,29539,81,1,5,,20,55,877,120,655,97,5
Sunnyvale,152443,158,1,29,,61,67,2364,545,1514,296,9
Susanville3,15045,173,0,7,,10,156,366,82,259,19,6
Sutter Creek3,2457,12,0,2,,0,10,39,3,30,3,3
Taft,8819,58,0,1,,7,50,333,79,235,19,0
Tehachapi,12971,44,0,8,,5,31,338,109,195,34,0
Temecula,111673,114,1,8,,47,58,2920,459,2116,342,3
Temple City,36524,66,1,10,,24,31,475,154,280,40,1
Thousand Oaks,129976,136,0,26,,23,87,1586,234,1241,102,9
Tiburon3,9288,9,0,0,,1,8,79,14,61,3,1
Torrance,149243,214,2,34,,85,93,2885,540,2024,317,4
Tracy,86477,154,1,19,,49,85,2442,272,1736,409,25
Truckee,16331,20,0,2,,1,17,163,38,111,9,5
Tulare,62475,303,10,16,,46,231,2002,398,1299,305,0
Tulelake3,983,2,0,0,,0,2,12,3,6,3,0
Turlock3,71895,380,2,16,,103,259,2775,602,1632,511,30
Tustin3,81953,130,1,10,,38,81,1720,217,1344,154,5
Twentynine Palms,26105,86,2,8,,13,63,419,139,241,32,7
Ukiah,15969,153,1,18,,20,114,527,150,331,39,7
Union City,74648,265,3,3,,87,172,1649,305,1024,314,6
Upland,76581,232,4,21,,79,128,2387,570,1489,325,3
Vacaville,96693,249,0,20,,97,132,2174,236,1723,200,15
Vallejo,121257,1031,18,102,,351,560,5026,2352,1536,1098,40
