Index,id,propertyId,source,status,nightPriceÙ€native,nightPrice,weeklyPrice,monthlyPrice,cleaningFeeNative,numOfBaths,numOfRooms,occupancy,nightsBooked,rentalIncome,airbnbNeighborhoodId,name,address,airbnbNeighborhood,airbnbCity,state,capacityOfPeople,zip,propertyType,roomType,roomTypeCategory,amenities,reviewsCount,startRating,reviews,createdAt,updatedAt,numOfBeds,lat,lon,image,url,rental_income,neighborhood,nightRate,property_id,airbnbZIP
20,28612759,13978113,Airbnb,ACTIVE,80,88,0,0,80,1,1,60,219,1606,13017,Private Entry Huge Private Pool Front 1B/1B,"Los Angeles, CA, United States",North Hills West,Los Angeles,CA,2,91343,Guesthouse,Entire home/apt,entire_home,,4,5,,2021-01-30T09:27:47.000Z,2021-01-30T09:27:47.000Z,1,34.23443985,-118.4896317,https://a0.muscache.com/im/pictures/a41f608e-7653-4b5a-a10f-575ccbf04011.jpg?aki_policy=medium,,1584,"{'id': 13017, 'name': 'North Hills West'}",88,13978113,91343
21,28612773,24208093,Airbnb,ACTIVE,80,65,0,0,0,1,0,97,356,1928,13017,Quiet|guesthouse|Mins from Hollywood,"Los Angeles, CA, United States",North Hills West,Los Angeles,CA,4,91343,Guesthouse,Entire home/apt,entire_home,,80,5,,2021-01-30T09:27:51.000Z,2021-01-30T09:27:51.000Z,2,34.25268173,-118.4938889,https://a0.muscache.com/im/pictures/f0e98faf-2d5f-4450-8072-cdce4414ccf9.jpg?aki_policy=medium,,1891.5,"{'id': 13017, 'name': 'North Hills West'}",65,24208093,91343
22,28612781,31091020,Airbnb,out of market range,60,47,0,0,,1,1,22,80,313,13017,Brand New Amazing Guest Suite - Private entrance!,"Los Angeles, CA, United States",North Hills West,Los Angeles,CA,2,91343,Guest suite,Entire home/apt,entire_home,,3,5,,2021-01-30T09:27:54.000Z,2021-01-30T09:27:54.000Z,2,34.2478714,-118.4759064,https://a0.muscache.com/im/pictures/b1b63b32-72ca-4f7f-95f1-84d057883eaf.jpg?aki_policy=medium,,310.2,"{'id': 13017, 'name': 'North Hills West'}",47,31091020,91343
23,28612795,32836965,Airbnb,ACTIVE,60,51,0,0,39,1,0,69,254,1080,13017,Resto Place Suite w/ prÃ­vate entrance,"Los Angeles, CA, United States",,Los Angeles,CA,2,91343,Guest suite,Entire home/apt,entire_home,,69,5,,2021-01-30T09:27:58.000Z,2021-01-30T09:27:58.000Z,1,34.25379181,-118.4759979,https://a0.muscache.com/im/pictures/c1af54a9-e491-43dc-b623-0d647ba51a22.jpg?aki_policy=medium,,1055.7,"{'id': 13017, 'name': None}",51,32836965,91343
24,28612788,32962966,Airbnb,ACTIVE,105,110,0,0,80,1.5,2,10,37,339,13017,"The Carrotwood Tree Guest Suite, Great Discount !","Los Angeles, CA, United States",North Hills West,Los Angeles,CA,3,91343,Guest suite,Entire home/apt,entire_home,,17,5,,2021-01-30T09:27:56.000Z,2021-01-30T09:27:56.000Z,2,34.22365952,-118.4774933,https://a0.muscache.com/im/pictures/a818a75a-8a9a-4631-9fca-ec208c692018.jpg?aki_policy=medium,,330,"{'id': 13017, 'name': 'North Hills West'}",110,32962966,91343
25,28612801,35292946,Airbnb,ACTIVE,279,333,0,0,300,3,4,64,235,6521,13017,Brand New Luxury Home - 2700 SQFT 4 Bed 3 Bath,"Los Angeles, CA, United States",,Los Angeles,CA,14,91343,House,Entire home/apt,entire_home,,64,5,,2021-01-30T09:28:00.000Z,2021-01-30T09:28:00.000Z,6,34.23871994,-118.4751968,https://a0.muscache.com/im/pictures/e7498398-eeb0-4b7e-8239-347612d2a7a5.jpg?aki_policy=medium,,6393.6,"{'id': 13017, 'name': None}",333,35292946,91343
26,28612808,37156306,Airbnb,ACTIVE,80,88,0,0,100,1,1,69,253,1855,13017,Charming Guest House w/ Private entry & Pool view,"Los Angeles, CA, United States",North Hills West,Los Angeles,CA,3,91343,Guest suite,Entire home/apt,entire_home,,4,5,,2021-01-30T09:28:02.000Z,2021-01-30T09:28:02.000Z,0,34.23466873,-118.4880829,https://a0.muscache.com/im/pictures/571a5ae5-ea84-4890-a115-06040a34f96f.jpg?aki_policy=medium,,1821.6,"{'id': 13017, 'name': 'North Hills West'}",88,37156306,91343
27,28612814,43921153,Airbnb,ACTIVE,140,129,0,0,,1,1,53,113,2082,13017,The planters house,"Los Angeles, CA, United States",North Hills West,Los Angeles,CA,2,91343,Guest suite,Entire home/apt,entire_home,,4,5,,2021-01-30T09:28:04.000Z,2021-01-30T09:28:04.000Z,2,34.24018097,-118.4820175,https://a0.muscache.com/im/pictures/adf6d402-fa8f-4b66-bb10-06a1f6687411.jpg?aki_policy=medium,,2051.1,"{'id': 13017, 'name': 'North Hills West'}",129,43921153,91343
28,28612766,7650792,Airbnb,ACTIVE,108,108,750,2500,138,2,2,100,366,3294,13017,Sophisticated Townhouse 2 bdr 2 ba,"North Hills, CA, United States",North Hills East,Los Angeles,CA,2,91343,Townhouse,Entire home/apt,entire_home,,13,5,,2021-01-30T09:27:48.000Z,2021-01-30T09:27:48.000Z,2,34.2496109,-118.4681931,https://a0.muscache.com/im/pictures/6eb226fd-725f-4a98-b729-292098fd5a7e.jpg?aki_policy=medium,,3240,"{'id': 13017, 'name': 'North Hills East'}",108,7650792,91343
29,28612395,10576751,Airbnb,ACTIVE,125,130,0,3500,100,1,1,25,91,986,13176,SAN FDO. VALLEY / NORTH HILLS -CSUN,"Los Angeles, CA, United States",Panorama City,Los Angeles,CA,4,91402,Condominium,Entire home/apt,entire_home,,19,5,,2021-01-30T09:25:41.000Z,2021-01-30T09:25:41.000Z,1,34.24113083,-118.4510727,https://a0.muscache.com/im/pictures/ab30224d-bf58-4d2e-bcb7-11764205f181.jpg?aki_policy=medium,,975,"{'id': 13176, 'name': 'Panorama City'}",130,10576751,91402
